Thierry Breton (Commissioner),Bureau Européen des Unions de Consommateurs
Thierry Breton (Commissioner),International Chemical Secretariat
Thierry Breton (Commissioner),Center for International Environmental Law
Thierry Breton (Commissioner),The European Consumer Voice in Standardisation
Thierry Breton (Commissioner),Health & Environment Alliance
Thierry Breton (Commissioner),European Chemical Society
Thierry Breton (Commissioner),Leuphana Universität Lüneburg
Thierry Breton (Commissioner),University of Massachusetts Lowell
Thierry Breton (Commissioner),Masarykova univerzita
Thierry Breton (Commissioner),European Environmental Bureau
Thierry Breton (Commissioner),European Chemical Industry Council
Thierry Breton (Commissioner),industriAll European Trade Union
Thierry Breton (Commissioner),EUROMETAUX
Thierry Breton (Commissioner),Corbion
Thierry Breton (Commissioner),Cosmetics Europe
Thierry Breton (Commissioner),SMEunited aisbl
Thierry Breton (Commissioner),Covestro AG
Thierry Breton (Commissioner),PETA Science Consortium International e.V.
Thierry Breton (Commissioner),Henkel AG & Co. KGaA
Thierry Breton (Commissioner),Solvay SA
Thierry Breton (Commissioner),Climate Action Network Europe
Thierry Breton (Commissioner),Karlsruher Institut für Technologie
Thierry Breton (Commissioner),Society of Environmental Toxicology and Chemistry Europe
Thierry Breton (Commissioner),Coop Danmark A/S
Thierry Breton (Commissioner),Stockholm university
Thierry Breton (Commissioner),Endocrine Society
Thierry Breton (Commissioner),Chemicals, Health and Environment Monitoring Trust
Tommy De Temmerman,Association for Financial Markets in Europe
Iris Abraham,Eurochild AISBL
Iris Abraham,Hope and Homes for Children
Iris Abraham,Lumos Foundation
Sarah Nelen,Minli bedrijven BV
Katherine Power,Bundesverband deutscher Banken e.V.
Helena Braun,Reuse and Recycling European Union Social Enterprises
Helena Braun,Climate Leadership Coalition
Filip Alexandru Negreanu Arboreanu,European Biodiesel Board
Maroš Šefčovič (Vice-President),BUSINESSEUROPE
Gaëlle Michelier,Gevo, Inc.
Karolina Herbout-Borczak,European Milk Board
Annukka Ojala,European Milk Board
Laure Chapuis-Kombos,Arla Foods amba
Katherine Power,Europe Affaires Publiques
Daniel Mes,Berenschot Groep BV
Lukas Visek,IMAGINE Foundation
Aleksandra Tomczak,Forum Atomique Européen
Werner Stengg,DIGITALEUROPE
Mairead McGuinness (Commissioner),Change Finance Coalition
Mairead McGuinness (Commissioner),Euroclear SA/NV
Mairead McGuinness (Commissioner),PensionsEurope
Helena Braun,Our Fish
Antoine Colombani,Our Fish
Helena Braun,The Pew Charitable Trusts
Antoine Colombani,The Pew Charitable Trusts
Helena Braun,ClientEarth AISBL
Antoine Colombani,ClientEarth AISBL
Helena Braun,Climate Action Network Europe
Antoine Colombani,Climate Action Network Europe
Helena Braun,Institute for European Environmental Policy
Antoine Colombani,Institute for European Environmental Policy
Fabrice Comptour,ASML Netherlands B.V.
Thierry Breton (Commissioner),ASML Netherlands B.V.
Fabrice Comptour,NXP Semiconductors Netherlands B.V.
Thierry Breton (Commissioner),NXP Semiconductors Netherlands B.V.
Diederik Samsom,Dow Europe GmbH
Diederik Samsom,Euroheat & Power
Pauline Weinzierl,Atlantic Council of the United States, Inc
Jorge Pinto Antunes,LP Brussels
Charmaine Hili,International Chamber of Commerce
Elzbieta Lukaniuk,DSRC Interest Group
Filip Alexandru Negreanu Arboreanu,Crédit Agricole S.A.
Thierry Breton (Commissioner),European Small Business Alliance
Thierry Breton (Commissioner),SMEunited aisbl
Thierry Breton (Commissioner),European Entrepreneurs CEA-PME
Thierry Breton (Commissioner),EUROCHAMBRES – Association of European Chambers of Commerce and Industry
Pauline Weinzierl,DIGITALEUROPE
Filomena Chirico,DIGITALEUROPE
Joan Canton,Ørsted A/S
Andrea Beltramello,Generation Climate Europe
Mairead McGuinness (Commissioner),Federation of European Securities Exchanges
Mairead McGuinness (Commissioner),European Savings and Retail Banking Group
Gints Freimanis,Confederation of European Paper Industries
Gints Freimanis,EUROPEAN BICYCLE MANUFACTURERS ASSOCIATION
Gints Freimanis,European Producers Union of Renewable Ethanol
Gints Freimanis,European Domestic Glass
Gints Freimanis,The European Steel Association
Gints Freimanis,UNIFE
Gints Freimanis,GlassFibreEurope
Gints Freimanis,EUROALLIAGES
Gints Freimanis,Cerame-Unie
Gints Freimanis,Fieldfisher (Belgium) LLP
Gints Freimanis,King & Spalding LLP
Gints Freimanis,Fertilizers Europe
Gints Freimanis,European Aluminium AISBL
Gints Freimanis,Dalmine S.p.A.
Gints Freimanis,EUROMETAUX
Gints Freimanis,AEGIS Europe
Gints Freimanis,Federazione Imprese Siderurgiche Italiane
Didier Reynders (Commissioner),The Daphne Caruana Galizia Foundation
Isabelle Perignon,The Daphne Caruana Galizia Foundation
Stefanie Hiesinger,Cruise Lines International Association Europe
Stefano Grassi,EPIA SolarPower Europe
Kadri Simson (Commissioner),EPIA SolarPower Europe
Anne Funch Jensen,Community of European Railway and Infrastructure Companies
Kim Jorgensen,Community of European Railway and Infrastructure Companies
Werner Stengg,Intel Corporation
Margrethe Vestager (Executive Vice-President),Intel Corporation
Tommy De Temmerman,Fédération Française de l'Assurance
Florian Denis,Managed Funds Association
Nathalie De Basaldua Lemarchand,Managed Funds Association
Toma Sutic,global
Virginijus Sinkevičius (Commissioner),SUEZ Group
Rozalina Petrova,SUEZ Group
Stefanie Hiesinger,European Academies' Science Advisory Council
Riccardo Maggi,European Academies' Science Advisory Council
Diederik Samsom,European Academies' Science Advisory Council
Helena Braun,European Academies' Science Advisory Council
Diederik Samsom,Deloitte & Associés
Věra Jourová (Vice-President),EUROPE'S MEDIALAB (Fondation EURACTIV)
Diana Montero Melis,WWF European Policy Programme
Diana Montero Melis,Global Witness
Diana Montero Melis,WCS EU
Diana Montero Melis,ClientEarth AISBL
Diana Montero Melis,Fern
Diana Montero Melis,Greenpeace European Unit
Diana Montero Melis,Conservation International Europe
Diana Montero Melis,Environmental Investigation Agency
Leila Fernandez-Stembridge,Aena, S.M.E. S.A.
Stefanie Hiesinger,Deutsche Post DHL Group
Camilla Bursi,Umweltorganisation WWF Central and Eastern Erurope
Camilla Bursi,Environmental Partnership Association
Christoph Nerlich,European Youth Forum
Anouk Faber,European Youth Forum
Christoph Nerlich,Unilever
Anouk Faber,Unilever
Helena Braun,Environmental Partnership Association
Helena Hinto,European Association Automotive Suppliers
Laure Chapuis-Kombos,European Association Automotive Suppliers
Helena Hinto,European Producers Union of Renewable Ethanol
Laure Chapuis-Kombos,European Producers Union of Renewable Ethanol
Helena Hinto,eFuel Alliance
Laure Chapuis-Kombos,eFuel Alliance
Helena Hinto,FuelsEurope
Laure Chapuis-Kombos,FuelsEurope
Helena Hinto,NGVA Europe
Laure Chapuis-Kombos,NGVA Europe
Helena Hinto,International Road Transport Union Permanent Delegation to the EU
Laure Chapuis-Kombos,International Road Transport Union Permanent Delegation to the EU
Valdis Dombrovskis (Executive Vice-President),BUSINESSEUROPE
Gaëlle Michelier,Transport and Environment (European Federation for Transport and Environment)
Rachel Smit,Transport and Environment (European Federation for Transport and Environment)
Thor-Sten Vertmann,EDSO for Smart Grids
Carole Mancel-Blanchard,SMEunited aisbl
Thierry Breton (Commissioner),Taiwan Semiconductor Manufacturing Company Ltd
Nicolas Schmit (Commissioner),VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE
Santina Bertulessi,VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE
Anouk Faber,VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE
Antoine Kasel,VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE
Fabien Dell,VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE
Ivana McDowell,VERBOND VAN BELGISCHE ONDERNEMINGEN / FEDERATION DES ENTREPRISES DE BELGIQUE
Nicolas Schmit (Commissioner),FEDIL - The Voice of Luxembourg's Industry
Santina Bertulessi,FEDIL - The Voice of Luxembourg's Industry
Anouk Faber,FEDIL - The Voice of Luxembourg's Industry
Antoine Kasel,FEDIL - The Voice of Luxembourg's Industry
Fabien Dell,FEDIL - The Voice of Luxembourg's Industry
Ivana McDowell,FEDIL - The Voice of Luxembourg's Industry
Nicolas Schmit (Commissioner),Vereniging VNO-NCW
Santina Bertulessi,Vereniging VNO-NCW
Anouk Faber,Vereniging VNO-NCW
Antoine Kasel,Vereniging VNO-NCW
Fabien Dell,Vereniging VNO-NCW
Ivana McDowell,Vereniging VNO-NCW
Fabrice Comptour,Intel Corporation
Thierry Breton (Commissioner),Intel Corporation
Daniel Mes,Bureau Européen des Unions de Consommateurs
Katherine Power,Fédération bancaire française
Diederik Samsom,Institute for European Environmental Policy
Věra Jourová (Vice-President),Hospodářská komora České republiky
Diana Montero Melis,ClientEarth AISBL
Diana Montero Melis,Conservation International Europe
Diana Montero Melis,WCS EU
Andrea Beltramello,Invest Europe
Gints Freimanis,Association Française des Entreprises Privées / French Association of Large Companies
Andrea Beltramello,Association Française des Entreprises Privées / French Association of Large Companies
Sofja Ribkina,APPLiA (Home Appliance Europe)
Sofja Ribkina,Orgalim – Europe's Technology Industries
Sofja Ribkina,Association des Constructeurs Européens d'Automobiles
Sofja Ribkina,WindEurope
Sofja Ribkina,European Association Automotive Suppliers
Stefanie Hiesinger,Young Königswinter Alumni
Stefanie Hiesinger,ELECTRICITE DE FRANCE
Thor-Sten Vertmann,European Committee for Standardization
Thor-Sten Vertmann,European Committee for Electrotechnical Standardization
Johannes Hahn (Commissioner),Euronext
Jorge Pinto Antunes,Greenpeace European Unit
Jorge Pinto Antunes,Fern
Jorge Pinto Antunes,WWF European Policy Programme
Jorge Pinto Antunes,Global Witness
Jorge Pinto Antunes,WCS EU
Jorge Pinto Antunes,Environmental Investigation Agency
Jorge Pinto Antunes,ClientEarth AISBL
Jorge Pinto Antunes,Conservation International Europe
Hannah O’Kane,Motor Insurers Bureau of Ireland
Maurits-Jan Prinz,GlaxoSmithKline
Alienor Margerit,Association for Financial Markets in Europe
Maria Elena Scoppio,Prosus
Frans Timmermans (Executive Vice-President),Green 10
Michele Piergiovanni,FERROVIE DELLO STATO ITALIANE S.p.A.
Tommy De Temmerman,BNP PARIBAS
Lukas Visek,Mosa Meat
Andrea Beltramello,CMA CGM
Caroline Boeshertz,CMA CGM
Andrea Beltramello,BNP PARIBAS
Eglantine Cujo,WWF European Policy Programme
Virginijus Sinkevičius (Commissioner),WWF European Policy Programme
Eglantine Cujo,Greenpeace European Unit
Virginijus Sinkevičius (Commissioner),Greenpeace European Unit
Stefanie Hiesinger,easyJet
Diederik Samsom,easyJet
Wojtek Talko,Schibsted ASA
Marie Frenay,Schibsted ASA
Daniel Braun,Schibsted ASA
Jorge Pinto Antunes,European agri-cooperatives
Jorge Pinto Antunes,European Landowners'  Organization asbl
Jorge Pinto Antunes,European State Forest Association
Jorge Pinto Antunes,Conféderation Européenne des Propriétaires Forestiers
Camilla Bursi,European Landowners'  Organization asbl
Camilla Bursi,European State Forest Association
Camilla Bursi,Conféderation Européenne des Propriétaires Forestiers
Camilla Bursi,European agri-cooperatives
Camilla Bursi,European farmers
Valeria Miceli,Bundesverband deutscher Banken e.V.
Valeria Miceli,Fédération bancaire française
Sarah Nelen,Thyssengas
Aleksandra Tomczak,Thyssengas
Sarah Nelen,N.V. Nederlandse Gasunie
Florian Denis,Bundesverband deutscher Banken e.V.
Tommy De Temmerman,Bundesverband deutscher Banken e.V.
Thierry Breton (Commissioner),European Environmental Bureau
Thierry Breton (Commissioner),Third Generation Environmentalism Ltd
Thierry Breton (Commissioner),Carbon Market Watch
Thierry Breton (Commissioner),Umweltorganisation WWF Central and Eastern Erurope
Thierry Breton (Commissioner),Climate Action Network Europe
Thierry Breton (Commissioner),BUSINESSEUROPE
Katherine Power,RPP Group
Laure Chapuis-Kombos,Agora Energiewende
Kitti Nyitrai,Agora Energiewende
Jorge Pinto Antunes,Growing Media Europe
Roberto Berutti,European Coordination Via Campesina
Janusz Wojciechowski (Commissioner),European Coordination Via Campesina
Magdalena Majerczyk,European Coordination Via Campesina
Katherine Power,Association for Financial Markets in Europe
Florian Denis,abrdn plc
Florian Denis,MLP SE
Daniel Mes,Enterprise Rent A Car UK, Ltd.
Kim Jorgensen,Common Sense Media
Werner Stengg,SCALEWAY
Florian Denis,Apple Inc.
Agnieszka Drzewoska,Apple Inc.
Andrea Beltramello,UBS Group AG
Andrea Beltramello,BANCO BILBAO VIZCAYA ARGENTARIA
Andrea Beltramello,The Goldman Sachs Group, Inc.
Andrea Beltramello,Association for Financial Markets in Europe
Andrea Beltramello,NATIXIS
Andrea Beltramello,UniCredit
Andrea Beltramello,Intesa Sanpaolo
Andrea Beltramello,JPMorgan Chase & Co.
Andrea Beltramello,Société Générale
Andrea Beltramello,Citigroup Inc.
Andrea Beltramello,UBS Group AG
Caroline Boeshertz,LP Brussels
Gints Freimanis,LP Brussels
Andrea Beltramello,LP Brussels
Caroline Boeshertz,Drax Group plc
Gints Freimanis,Drax Group plc
Andrea Beltramello,Drax Group plc
Caroline Boeshertz,US Industrial Pellet Association
Gints Freimanis,US Industrial Pellet Association
Andrea Beltramello,US Industrial Pellet Association
Caroline Boeshertz,Enviva
Gints Freimanis,Enviva
Andrea Beltramello,Enviva
Diederik Samsom,Climate Action Network Europe
Pauline Weinzierl,Ericsson
Pauline Weinzierl,Nokia
Mariya Gabriel (Commissioner),Google
Sandra Bartelt,Suomalaiset kehitysjärjestöt Fingo ry
Sandra Bartelt,SDG Watch Europe
Katherine Power,Association for Financial Markets in Europe
Karolina Herbout-Borczak,European Dairy Association aisbl
Annukka Ojala,European Dairy Association aisbl
Filip Alexandru Negreanu Arboreanu,Vodafone Belgium SA
Laure Chapuis-Kombos,Cercle des Délégués Permanents Français
Elzbieta Lukaniuk,Lithuanian National Road Carriers' Association "LINAVA"
Elzbieta Lukaniuk,Związek Pracodawców Transport i Logistyka Polska
Kurt Vandenberghe,Breakthrough Energy Catalyst Foundation
Florian Denis,Mediobanca - Banca di Credito Finanziario
Tommy De Temmerman,Banco Santander, S.A.
Werner Stengg,Avaaz Foundation
Werner Stengg,aNewGovernance
Christiane Canenbley,aNewGovernance
Tommy De Temmerman,Banco Santander, S.A.
Lukas Visek,Danone
Lukas Visek,Nestlé S.A.
Lukas Visek,Unilever
Michael Hager,ArcelorMittal
Gints Freimanis,ArcelorMittal
Mairead McGuinness (Commissioner),Business at OECD (BIAC)
Maurits-Jan Prinz,Curia Global, Inc.
Didier Reynders (Commissioner),Bundesverband der Deutschen Industrie e.V.
Lucrezia Busa,Bundesverband der Deutschen Industrie e.V.
Monika Ladmanova,Prospera International Network of Women's Funds
Marie Frenay,International Press Institute
Marie Frenay,Fellowship of European Broadcasters
Marie Frenay,European Newspaper Publishers' Association
Helena Braun,ExxonMobil Petroleum & Chemical
Ivana McDowell,Uber
Anouk Faber,Uber
Ana Carla  Pereira,Uber
Antoine Kasel,Uber
Nicolas Schmit (Commissioner),Uber
Antoine Kasel,Bolt
Ana Carla  Pereira,Bolt
Nicolas Schmit (Commissioner),Bolt
Ivana McDowell,Bolt
Anouk Faber,Bolt
Mariya Gabriel (Commissioner),Manufacture Française des Pneumatiques Michelin
Johannes Hahn (Commissioner),Community of European Railway and Infrastructure Companies
Jorge Pinto Antunes,Finnish Forest Industries Federation (Metsäteollisuus ry)
Valdis Dombrovskis (Executive Vice-President),IBM Corporation
Filomena Chirico,Shopify Inc.
Agnieszka Skonieczna,Shopify Inc.
Ursula von der Leyen (President),Potsdam-Institut für Klimafolgenforschung
Mairead McGuinness (Commissioner),EPI Company
Deša Srsen,SMEunited aisbl
Florian Denis,Invest Europe
Deirdre O’Hea,Bloomberg L.P.
Mairead McGuinness (Commissioner),Bloomberg L.P.
Alienor Margerit,BNP PARIBAS
Aleksandra Tomczak,International Association of Oil & Gas Producers Europe
Marie Frenay,Open Society European Policy Institute
Alvaro De Elera,Open Society European Policy Institute
Werner Stengg,Duck Duck Go, Inc.
Penelope Papandropoulos,Duck Duck Go, Inc.
Werner Stengg,Shopify Inc.
Yizhou Ren,Zentraler Immobilien Ausschuss
Lukas Visek,Stichting BirdLife Europe
Lukas Visek,ClientEarth AISBL
Lukas Visek,European Environmental Bureau
Lukas Visek,Greenpeace European Unit
Lukas Visek,European Liaison Committee for Agriculture and agri-food trade
